image,avg-shannon20-80,avg-shannon-nan20-80,avg-shannon80-160,avg-shannon-nan80-160,avg-shannon160-240,avg-shannon-nan160-240,first_order-shannon,edge-density
E-M-A-3.png,3.369784871699956,3.369784871699956,3.4692741806907748,3.4692741806907748,3.5792634008818083,3.5792634008818083,3.341937587612275,135.93389571574104
E-R-N-32.png,4.264179567302046,4.264179567302046,4.313240380815531,4.313240380815531,4.2174005898280225,4.2174005898280225,3.879461185388048,121.22366534928625
Screenshot 2023-11-19 at 22.00.22-2.png,4.410825358490882,4.410825358490882,4.465156672678136,4.465156672678136,4.403320647137116,4.403320647137116,4.4315296718561665,91.6832115594886
